Disp,Force
0,0
0.00037457,0.006837677
0.000280661,0.008505234
0.000161423,0.010225309
0.00035027,0.012111688
0.000227752,0.013794389
0.000228923,0.015868687
0.000179652,0.017896719
0.000235594,0.019988665
0.000249078,0.021997976
0.000322378,0.024178789
0.000251235,0.026332155
0.000398267,0.028683666
0.000464745,0.03127931
0.000502657,0.034074257
0.000712158,0.037013515
0.000536422,0.040140129
0.000622183,0.043360085
0.000842634,0.046848492
0.000674734,0.050412178
0.000726832,0.054385815
0.000922763,0.058481346
0.000789259,0.062551994
0.00101341,0.066925316
0.000880547,0.071654053
0.00103631,0.076418907
0.00117257,0.081622765
0.00111217,0.08696653
0.00121355,0.092525826
0.00118104,0.098222122
0.00144546,0.104410538
0.00144907,0.110651909
0.00152815,0.117306435
0.00173142,0.124356987
0.00167,0.131461121
0.00178065,0.138969589
0.00192444,0.146735443
0.00181612,0.15492247
0.00206418,0.163262695
0.00213998,0.171976364
0.00222555,0.181002365
0.00235039,0.189861954
0.00240717,0.199308762
0.00257767,0.209132675
0.00266151,0.219209
0.0027457,0.22940625
0.00290632,0.240176559
0.0030871,0.250994995
0.00303398,0.262192688
0.00325039,0.273686279
0.00337513,0.285373199
0.00349241,0.297150085
0.00358759,0.309159271
0.00384467,0.321768402
0.00398182,0.334317108
0.00411375,0.346875122
0.00418255,0.359838959
0.00440038,0.373069946
0.00453318,0.386198456
0.00452858,0.399820251
0.00475118,0.413516418
0.00500036,0.427286041
0.00501023,0.441607391
0.00535457,0.455872986
0.00554318,0.470318481
0.00565595,0.484908569
0.00578962,0.499564453
0.00584929,0.514503662
0.00596033,0.529625977
0.00613689,0.544998413
0.00637049,0.560158325
0.00642333,0.575958374
0.00683365,0.591648865
0.00687232,0.607521973
0.00706281,0.62370697
0.00734794,0.640107422
0.00740934,0.656393127
0.00766261,0.67270752
0.0079181,0.68949939
0.00802889,0.706098755
0.00823533,0.722838013
0.00854291,0.73971814
0.00854506,0.756772949
0.00883,0.773810608
0.0090717,0.790784729
0.00911541,0.808267517
0.00936192,0.825454285
0.009845,0.842961243
0.00982149,0.860293274
0.00987414,0.877638123
0.0100717,0.895485901
0.010487,0.913264709
0.0105596,0.931174683
0.0107728,0.949188965
0.0117843,0.966933838
0.0111224,0.985048279
0.0114931,1.003136475
0.011442,1.021492188
0.0118342,1.039515015
0.0119615,1.057811523
0.0121297,1.075973633
0.012345,1.095023804
0.0126851,1.113577271
0.0127335,1.131897949
0.0130383,1.150176758
0.0131344,1.168945435
0.0132436,1.18771106
0.0135503,1.206483643
0.0135106,1.225379761
0.0136158,1.244062256
0.0140313,1.263008057
0.0144794,1.282068115
0.0144538,1.301219238
0.0147853,1.32022644
0.0151121,1.339070679
0.0153307,1.358155273
0.0154425,1.377144043
0.0156568,1.395906616
0.0157399,1.414865234
0.0160064,1.433933105
0.0162608,1.452966553
0.0166107,1.472156494
0.0169566,1.490761597
0.0170612,1.509333984
0.0172122,1.527849487
0.0171836,1.546046753
0.0176865,1.563927124
0.0177749,1.58177356
0.0178526,1.599660522
0.0181253,1.61751001
0.0184123,1.635488037
0.0184985,1.653235107
0.0186658,1.671077881
0.0187295,1.688967285
0.0191294,1.706589233
0.0192849,1.724473755
0.0195958,1.742156616
0.0198187,1.759921021
0.019829,1.777491943
0.0201198,1.795222656
