Displacement,Force,S_Max,S_Min,S_Mid,PEEQ,TRIAX,Load Angle
0,0,0,0,0,0,0,0
1.70944,3.59136,1754.14,683.407,51.3042,0.496134,nan,0.802777
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.929,3.64191,1516.69,771.483,-207.551,0.539517,nan,0.465094
0,0,0,0,0,0,0,0
2.5186,3.14266,1286.27,205.95,8.36831,0.486364,nan,0.0
0,0,0,0,0,0,0,0
1.53878,3.53407,1351.2,450.898,53.9991,0.449554,0.005,0.537409
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.19988,3.36091,110.599,17.7074,-1369.51,0.334705,nan,0.397517
1.27334,3.40735,1376.51,306.066,9.30885,0.380167,0.002,0.452754
1.29657,3.2657,1663.25,780.433,-17.3451,0.38992,nan,0.0
